keys,en,mi,es,de,ru,ja,ar,hi
About Cue2,About Cue2,Mō Cue2,Acerca de Cue2,Über Cue2,О Cue2,Cue2 について,حول Cue2,Cue2 के बारे में
About Cue2…,About Cue2…,Mō Cue2…,Acerca de Cue2…,Über Cue2…,О Cue2…,Cue2 について…,حول Cue2…,Cue2 के बारे में…
Above target cue,Above target cue,Ki runga ake i te tohu ūnga,Encima de la cue destino,Über dem Ziel-Cue,Над целевой репликой,対象キューの上,فوق الإشارة المستهدفة,लक्ष्य क्यू के ऊपर
Absolute seek.,Absolute seek.,Rapu pūmau.,Búsqueda absoluta.,Absolutes Suchen.,Абсолютный переход.,絶対シーク。,بحث مطلق.,निरपेक्ष सीक।
Absolute: C / L50 / R100. Relative: ± pan delta.,Absolute: C / L50 / R100. Relative: ± pan delta.,Pūmau: C / L50 / R100. Whakatairite: ± rerekētanga pan.,Absoluto: C / L50 / R100. Relativo: ± delta de paneo.,Absolut: C / L50 / R100. Relativ: ± Pan-Delta.,Абсолютно: C / L50 / R100. Относительно: ± дельта панорамы.,絶対: C / L50 / R100。相対: ± パン差分。,مطلق: C / L50 / R100. نسبي: ± فرق التحريك.,निरपेक्ष: C / L50 / R100। सापेक्ष: ± पैन डेल्टा।
Absolute: media time. Relative: ± offset from current position.,Absolute: media time. Relative: ± offset from current position.,Pūmau: wā pāpāho. Whakatairite: ± nekehanga mai i te tūnga o nāianei.,Absoluto: tiempo de medio. Relativo: ± desplazamiento desde la posición actual.,Absolut: Medienzeit. Relativ: ± Versatz zur aktuellen Position.,Абсолютно: время медиа. Относительно: ± смещение от текущей позиции.,絶対: メディア時間。相対: 現在位置からの ± オフセット。,مطلق: وقت الوسائط. نسبي: ± إزاحة من الموضع الحالي.,निरपेक्ष: मीडिया समय। सापेक्ष: वर्तमान स्थिति से ± ऑफ़सेट।
Absolute: target % (0–100). Relative: delta %.,Absolute: target % (0–100). Relative: delta %.,Pūmau: % ūnga (0–100). Whakatairite: rerekētanga %.,Absoluto: % objetivo (0–100). Relativo: delta %.,Absolut: Ziel-% (0–100). Relativ: Delta-%.,Абсолютно: целевые % (0–100). Относительно: дельта %.,絶対: 目標 %（0–100）。相対: 差分 %。,مطلق: النسبة المستهدفة (0–100). نسبي: فرق ٪.,निरपेक्ष: लक्ष्य % (0–100)। सापेक्ष: डेल्टा %।
Absolute: target dB (−60…0). Relative: delta dB.,Absolute: target dB (−60…0). Relative: delta dB.,Pūmau: dB ūnga (−60…0). Whakatairite: rerekētanga dB.,Absoluto: dB objetivo (−60…0). Relativo: delta dB.,Absolut: Ziel-dB (−60…0). Relativ: Delta-dB.,Абсолютно: целевые дБ (−60…0). Относительно: дельта дБ.,絶対: 目標 dB（−60…0）。相対: 差分 dB。,مطلق: الهدف د.ب (−60…0). نسبي: فرق د.ب.,निरपेक्ष: लक्ष्य dB (−60…0)। सापेक्ष: डेल्टा dB।
Action:,Action:,Mahi:,Acción:,Aktion:,Действие:,アクション:,إجراء:,क्रिया:
ActionName,ActionName,ActionName,ActionName,ActionName,ActionName,ActionName,ActionName,ActionName
Active Cues,Active Cues,Tohu hohe,Cues activas,Aktive Cues,Активные реплики,アクティブなキュー,الإشارات النشطة,सक्रिय क्यू
Active instances,Active instances,Ngā tūnga hohe,Instancias activas,Aktive Instanzen,Активные экземпляры,アクティブなインスタンス,النسخ النشطة,सक्रिय इंस्टेंस
Active instances:,Active instances:,Ngā tūnga hohe:,Instancias activas:,Aktive Instanzen:,Активные экземпляры:,アクティブなインスタンス:,النسخ النشطة:,सक्रिय इंस्टेंस:
"Add a new cue.
Inserts below selection.","Add a new cue.
Inserts below selection.","Tāpirihia he tohu hou.
Ka kōkuhua ki raro i te tīpakonga.","Añadir una cue nueva.
Se inserta debajo de la selección.","Neuen Cue hinzufügen.
Wird unter der Auswahl eingefügt.","Добавить новую реплику.
Вставляется под выделением.","新しいキューを追加。
選択の下に挿入されます。","إضافة إشارة جديدة.
تُدرج أسفل التحديد.","नया क्यू जोड़ें।
चयन के नीचे डाला जाता है।"
Add a Text component to this cue for closed captions.,Add a Text component to this cue for closed captions.,Tāpirihia he wae kupu ki tēnei tohu mō ngā tapanga kati.,Añadir un componente de texto a esta cue para subtítulos.,Diesem Cue eine Textkomponente für Untertitel hinzufügen.,Добавить текстовый компонент субтитров к этой реплике.,このキューに字幕用テキストコンポーネントを追加します。,أضف مكوّن نص لهذه الإشارة للترجمة المصاحبة.,इस क्यू में बंद कैप्शन के लिए टेक्स्ट घटक जोड़ें।
Add Channel +,Add Channel +,Tāpiri hongere +,Añadir canal +,Kanal hinzufügen +,Добавить канал +,チャンネル追加 +,إضافة قناة +,चैनल जोड़ें +
Add control:,Add control:,Tāpiri whakahaere:,Añadir control:,Steuerung hinzufügen:,Добавить управление:,コントロールを追加:,إضافة تحكم:,नियंत्रण जोड़ें:
Add input:,Add input:,Tāpiri tāuru:,Añadir entrada:,Eingang hinzufügen:,Добавить вход:,入力を追加:,إضافة إدخال:,इनपुट जोड़ें:
Add output:,Add output:,Tāpiri putanga:,Añadir salida:,Ausgang hinzufügen:,Добавить выход:,出力を追加:,إضافة إخراج:,आउटपुट जोड़ें:
Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.,Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.,Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.,Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.,Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.,Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.,Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.,Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.,Add session inputs (receive) and outputs (send). Enable MIDI to open both. Cue MIDI Output components send to session outputs. Offline devices stay listed until removed.
Add Text Component,Add Text Component,Tāpiri wae kupu,Añadir componente de texto,Textkomponente hinzufügen,Добавить текстовый компонент,テキストコンポーネントを追加,إضافة مكوّن نص,टेक्स्ट घटक जोड़ें
Add Text to {0} Missing Cue(s),Add Text to {0} Missing Cue(s),Tāpiri kupu ki ngā tohu ngaro {0},Añadir texto a {0} cue(s) sin texto,Text zu {0} fehlenden Cue(s) hinzufügen,Добавить текст к {0} репликам без текста,{0} 件の不足キューにテキストを追加,إضافة نص إلى {0} إشارة ناقصة,{0} गायब क्यू में टेक्स्ट जोड़ें
"After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off.","After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off.","After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off.","After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off.","After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off.","After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off.","After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off.","After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off.","After each GO, block another GO for this many seconds.
Prevents accidental double-taps. 0 = off."
Alias: preload target cue.,Alias: preload target cue.,Alias: preload target cue.,Alias: preload target cue.,Alias: preload target cue.,Alias: preload target cue.,Alias: preload target cue.,Alias: preload target cue.,Alias: preload target cue.
All,All,Katoa,Todo,Alle,Все,すべて,الكل,सभी
All active.,All active.,All active.,All active.,All active.,All active.,All active.,All active.,All active.
All connections,All connections,Ngā hononga katoa,Todas las conexiones,Alle Verbindungen,Все подключения,すべての接続,كل الاتصالات,सभी कनेक्शन
Allowlist,Allowlist,Rārangi whakaae,Lista permitida,Zulassungsliste,Белый список,許可リスト,قائمة السماح,अनुमति सूची
Also accept OSC over TCP (binary length-prefixed packets).,Also accept OSC over TCP (binary length-prefixed packets).,Also accept OSC over TCP (binary length-prefixed packets).,Also accept OSC over TCP (binary length-prefixed packets).,Also accept OSC over TCP (binary length-prefixed packets).,Also accept OSC over TCP (binary length-prefixed packets).,Also accept OSC over TCP (binary length-prefixed packets).,Also accept OSC over TCP (binary length-prefixed packets).,Also accept OSC over TCP (binary length-prefixed packets).
An update is available.,An update is available.,An update is available.,An update is available.,An update is available.,An update is available.,An update is available.,An update is available.,An update is available.
Animate a canvas target layer size and/or position.,Animate a canvas target layer size and/or position.,Whakaora i te rahi me/rānei te tūnga o tētahi paparanga papa ūnga.,Animar el tamaño y/o la posición de una capa de lienzo.,Größe und/oder Position einer Canvas-Zielebene animieren.,Анимировать размер и/или положение целевого слоя холста.,キャンバスのターゲットレイヤーのサイズや位置をアニメーション。,تحريك حجم طبقة اللوحة المستهدفة و/أو موضعها.,कैनवास लक्ष्य परत का आकार और/या स्थिति एनिमेट करें।
Appearance (show),Appearance (show),Āhua (whakaaturanga),Apariencia (show),Erscheinungsbild (Show),Оформление (шоу),外観（ショー）,المظهر (العرض),दिखावट (शो)
Application interface language. Applies immediately and is saved as a user preference.,Application interface language. Applies immediately and is saved as a user preference.,"Te reo o te atanga. Ka whakamahia tonutia, ā, ka tiakina hei manakohanga kaiwhakamahi.",Idioma de la interfaz. Se aplica de inmediato y se guarda como preferencia de usuario.,Sprache der Anwendungsschnittstelle. Wird sofort übernommen und als Benutzereinstellung gespeichert.,Языक интерфейса. Применяется сразу и сохраняется в настройках пользователя.,アプリケーションの表示言語。すぐに適用され、ユーザー設定として保存されます。,لغة واجهة التطبيق. تُطبَّق فوراً وتُحفظ كتفضيل مستخدم.,एप्लिकेशन इंटरफ़ेस भाषा। तुरंत लागू होती है और उपयोगकर्ता वरीयता के रूप में सहेजी जाती है।
Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.,Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.,Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.,Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.,Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.,Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.,Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.,Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.,Applied after mixing each cue path (standalone and video audio). Max level hard-clamps peaks to avoid digital overload; min level zeros near-silence (noise gate). Concurrent cues still sum on the device — leave master headroom for dense stacks.
Applies on next start/seek.,Applies on next start/seek.,Applies on next start/seek.,Applies on next start/seek.,Applies on next start/seek.,Applies on next start/seek.,Applies on next start/seek.,Applies on next start/seek.,Applies on next start/seek.
Apply,Apply,Whakamahi,Aplicar,Anwenden,Применить,適用,تطبيق,लागू करें
Apply allowlist changes.,Apply allowlist changes.,Whakamahia ngā huringa rārangi whakaae.,Aplicar cambios de la lista permitida.,Zulassungsliste anwenden.,Применить белый список.,許可リストの変更を適用。,تطبيق تغييرات قائمة السماح.,अनुमति सूची लागू करें।
args,args,args,args,args,args,args,args,args
"args: 1 0.5 ""hello"" true","args: 1 0.5 ""hello"" true","args: 1 0.5 ""hello"" true","args: 1 0.5 ""hello"" true","args: 1 0.5 ""hello"" true","args: 1 0.5 ""hello"" true","args: 1 0.5 ""hello"" true","args: 1 0.5 ""hello"" true","args: 1 0.5 ""hello"" true"
Arm.,Arm.,Whakamau pū.,Armar.,Scharfschalten.,Взвести.,アーム。,تسليح.,आर्म्ड करें।
Armed,Armed,Mau pū,Armado,Scharf,Взведено,アーム済み,مسلّح,आर्म्ड
Armed:,Armed:,Mau pū:,Armado:,Scharf:,Взведено:,アーム:,مسلّح:,आर्म्ड:
Arming,Arming,Whakamau pū,Armado,Scharfschalten,Взвод,アーム,تسليح,आर्मिंग
Art-Net,Art-Net,Art-Net,Art-Net,Art-Net,Art-Net,Art-Net,Art-Net,Art-Net
As child of target cue,As child of target cue,Hei tamaiti o te tohu ūnga,Como hijo de la cue destino,Als Kind des Ziel-Cues,Как дочерняя к цели,対象キューの子として,كابن للإشارة المستهدفة,लक्ष्य क्यू का चाइल्ड
"Assign MIDI controls to app actions (Go, Save, Undo, …)","Assign MIDI controls to app actions (Go, Save, Undo, …)","Tautapa ngā whakahaere MIDI ki ngā mahi taupānga (Haere, Tiaki, Wete, …)","Asignar controles MIDI a acciones de la app (Go, Guardar, Deshacer, …)","MIDI-Regler App-Aktionen zuweisen (Go, Speichern, Rückgängig, …)","Назначьте MIDI-контролы действиям (Go, Сохранить, Отмена, …)",MIDI コントロールをアプリ操作に割り当て（GO、保存、元に戻す …）,تعيين عناصر MIDI لإجراءات التطبيق (تشغيل، حفظ، تراجع، …),"MIDI नियंत्रण ऐप क्रियाओं को असाइन करें (Go, सहेजें, पूर्ववत, …)"
"Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture.","Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture.","Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture.","Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture.","Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture.","Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture.","Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture.","Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture.","Assign MIDI controls to the same actions as the keyboard Input Map (Go, Save, Undo, …). Click a binding to capture the next MIDI message. Requires a session MIDI input under Settings → MIDI. Esc cancels capture."
"Assign OSC addresses to app actions (Go, Save, Undo, …)","Assign OSC addresses to app actions (Go, Save, Undo, …)","Tautapa ngā wāhitau OSC ki ngā mahi taupānga (Haere, Tiaki, Wete, …)","Asignar direcciones OSC a acciones de la app (Go, Guardar, Deshacer, …)","OSC-Adressen App-Aktionen zuweisen (Go, Speichern, Rückgängig, …)","Назначьте OSC-адреса действиям (Go, Сохранить, Отмена, …)",OSC アドレスをアプリ操作に割り当て（GO、保存、元に戻す …）,تعيين عناوين OSC لإجراءات التطبيق (تشغيل، حفظ، تراجع، …),"OSC पते ऐप क्रियाओं को असाइन करें (Go, सहेजें, पूर्ववत, …)"
Associate .c2 files with Cue2,Associate .c2 files with Cue2,Associate .c2 files with Cue2,Associate .c2 files with Cue2,Associate .c2 files with Cue2,Associate .c2 files with Cue2,Associate .c2 files with Cue2,Associate .c2 files with Cue2,Associate .c2 files with Cue2
Attempt Open,Attempt Open,Ngana ki te whakatuwhera,Intentar abrir,Öffnen versuchen,Попытаться открыть,開いてみる,محاولة الفتح,खोलने का प्रयास
Audio,Audio,Oro,Audio,Audio,Аудио,オーディオ,صوت,ऑडियो
audio,audio,oro,audio,Audio,аудио,オーディオ,صوت,ऑडियो
Audio Defaults,Audio Defaults,Taunoa oro,Predeterminados de audio,Audio-Standards,Аудио по умолчанию,オーディオの既定値,إعدادات الصوت الافتراضية,ऑडियो डिफ़ॉल्ट
Audio Devices:,Audio Devices:,Ngā pūrere oro:,Dispositivos de audio:,Audiogeräte:,Аудиоустройства:,オーディオデバイス:,أجهزة الصوت:,ऑडियो डिवाइस:
Audio output,Audio output,Putanga oro,Salida de audio,Audioausgabe,Аудиовыход,オーディオ出力,مخرج الصوت,ऑडियो आउटपुट
Audio Output Patch,Audio Output Patch,Pātene putanga oro,Matriz de salida de audio,Audio-Ausgangspatch,Патч аудиовыхода,オーディオ出力パッチ,تصحيح مخرج الصوت,ऑडियो आउटपुट पैच
audio output patch,audio output patch,pātene putanga oro,parche de salida de audio,Audio-Ausgangspatch,патч аудиовыхода,オーディオ出力パッチ,تصحيح مخرج الصوت,ऑडियो आउटपुट पैच
Audio Patch,Audio Patch,Pātene oro,Parche de audio,Audio-Patch,Аудиопатч,オーディオパッチ,تصحيح الصوت,ऑडियो पैच
Audio volume,Audio volume,Kahaoro,Volumen de audio,Audiolautstärke,Громкость аудио,オーディオ音量,مستوى الصوت,ऑडियो वॉल्यूम
Audio volume.,Audio volume.,Kahaoro.,Volumen de audio.,Audiolautstärke.,Громкость аудио.,オーディオ音量。,مستوى الصوت.,ऑडियो वॉल्यूम।
